Name;FIDE ID;Born;Died;Year;"Most recent
federation";M/F;Notes
Aagaard, Jacob;1401815;1973-07-31;;2007; Scotland;M;"Di Felice; title application"
Abasov, Nijat;13402960;1995-05-14;;2011; Azerbaijan;M;"Di Felice; title application"
Abbasifar, Hasan;12501000;1972-09-12;;2013; Iran;M;"title application; d.o.b.[note 1]"
Abbasov, Farid;13400665;1979-01-31;;2007; Azerbaijan;M;title application
Abdusattorov, Nodirbek;14204118;2004-09-18;;2018; Uzbekistan;M;title application[note 2]
Abergel, Thal;614890;1982-10-13;;2008; France;M;"title application; title application"
Abramović, Boško;900206;1951-02-14;;1984; Serbia;M;
Abreu Delgado, Aryam;3502589;1978-07-09;;2008; Cuba;M;"Di Felice; title application"
Ács, Péter;708020;1981-05-10;;1998; Hungary;M;
Aczel, Gergely;727709;1991-02-27;;2018; Hungary;M;title application
Adams, Michael;400041;1971-11-17;;1989; England;M;
Adhiban, B.;5018471;1992-08-15;;2010; India;M;title application
Adianto, Utut;7100019;1965-03-16;;1986; Indonesia;M;Di Felice
Adly, Ahmed;10601619;1987-02-19;;2005; Egypt;M;title application
Adorján, András;700096;1950-03-31;;1973; Hungary;M;
Agaragimov, Djakhangir;13401718;1986-12-05;;2014; Azerbaijan;M;title application
Agdestein, Simen;1500015;1967-05-15;;1985; Norway;M;
Aghamaliyev, Cemil;13400215;1974-08-31;;2002; Turkey;M;formerly Gamil Agamaliev
Aghasaryan, Robert;13302841;1994-03-01;;2014; Armenia;M;"Di Felice; title application"
Agrest, Evgeny;1705024;1966-08-15;;1997; Sweden;M;
Agüero Jiménez, Luis Lázaro;3508455;1991-01-05;;2019; Cuba;M;title application
Agzamov, Georgy;;1954-09-06;1986-08-27;1984; Soviet Union;M;Di Felice
Ajrapetjan, Yuriy;14109069;1988-04-18;;2007; Ukraine;M;"Di Felice; title application"
Akash G;5040299;1996-10-01;;2020; India;M;title application
Akbaev, Kazbek;4131045;1981-06-08;;2015; Russia;M;"Di Felice; title application"
Åkesson, Ralf;1700120;1961-02-08;;1995; Sweden;M;
Akobian, Varuzhan;13300580;1983-11-19;;2004; United States;M;
Akopian, Vladimir;13300032;1971-12-07;;1991; Armenia;M;
Al Rakib, Abdullah;10200444;1980-12-02;;2007; Bangladesh;M;title application
Al Sayed, Mohamad Naser;12100196;1981-11-02;;2009; Qatar;M;title application
Al-Mudahka, Mohd;12100030;1974-06-01;;1998; Qatar;M;
Alatortsev, Vladimir;;1909-05-14;1987-01-13;1983; Soviet Union;M;"Di Felice; honorary"
Alavkin, Arseny;4120612;1969-01-17;;2010; Russia;M;title application
Albornoz Cabrera, Carlos Daniel;3518736;2000-12-26;;2019; Cuba;M;"title application; title application"
Alburt, Lev;2000156;1945-08-21;;1977; United States;M;
Aleksandrov, Aleksej;13500139;1973-05-11;;1997; Belarus;M;
Alekseenko, Kirill;4135539;1997-06-22;;2015; Russia;M;title application
Alekseev, Evgeny;4138147;1985-11-28;;2002; Russia;M;
Ali Marandi, Cemil Can;6300529;1998-01-17;;2017; Turkey;M;title application
Almási, Zoltán;702293;1976-08-29;;1993; Hungary;M;
Almeida Quintana, Omar;3503313;1981-10-28;;2006; Cuba;M;
Alonso Rosell, Alvar;2270544;1992-09-13;;2013; Spain;M;"Di Felice; title application"
Alonso, Salvador;105198;1974-09-07;;2009; Argentina;M;"Di Felice; title application"
Alsina Leal, Daniel;2252627;1988-05-10;;2010; Spain;M;title application
Alterman, Boris;2801906;1970-05-04;;1992; Israel;M;
Alvarez Pedraza, Aramis;3507408;1988-07-27;;2010; Cuba;M;"Di Felice; title application"
Amanov, Mesgen;14000652;1986-09-06;;2009; Turkmenistan;M;title application
Amin, Bassem;10601457;1988-09-09;;2006; Egypt;M;
Amonatov, Farrukh;14700077;1978-04-13;;2002; Tajikistan;M;
Anagnostopoulos, Dimitris;4204077;1970-06-11;;1996; Greece;M;
Anand, Viswanathan;5000017;1969-12-11;;1988; India;M;
Anastasian, Ashot;13300059;1964-07-16;2016-12-26;1993; Armenia;M;FIDE
Andersen, Mads;1413864;1995-03-01;;2016; Denmark;M;title application
Andersson, Ulf;1700014;1951-06-27;;1972; Sweden;M;
Andreev, Eduard;14103400;1980-03-12;;2005; Ukraine;M;title application
Andreikin, Dmitry;4158814;1990-02-05;;2007; Russia;M;title application
Andriasian, Zaven;13302000;1989-03-11;;2006; Armenia;M;"Di Felice; IM title application"
Anic, Darko;602612;1957-04-30;;1999; France;M;
Anisimov, Pavel;4135229;1986-04-19;;2019; Russia;M;title application
Anka, Emil;700754;1969-01-20;;2001; Hungary;M;
Annageldyev, Orazly;14000016;1960-03-20;;2005; Turkmenistan;M;title application
Annakov, Babakuli;14000032;1972-05-29;;1998; United States;M;Di Felice
Antal, Gergely;717312;1985-03-20;;2011; Hungary;M;title application
Antić, Dejan;901008;1968-12-09;;1999; Serbia;M;
Antipov, Mikhail;4107012;1997-06-10;;2013; Russia;M;title application
Antón Guijarro, David;2285525;1995-06-23;;2013; Spain;M;"title application; title application"
Antoniewski, Rafał;1111078;1980-12-03;;2010; Poland;M;title application
Antonio, Jr., Rogelio;5200032;1962-02-19;;1993; Philippines;M;
Antoshin, Vladimir;;1929-05-14;1994-05-13;1964; Russia;M;Di Felice
Antunes, Antonio;1900013;1962-02-06;;1994; Portugal;M;
Anurag Mhamal;5024366;1995-04-28;;2017; India;M;title application
Apicella, Manuel;600164;1970-04-19;;1995; France;M;
Appel, Ralf;4600924;1971-07-18;;2008; Germany;M;title application
Arakhamia-Grant, Ketevan;13600168;1968-07-19;;2009; Scotland;F;title application
Aravindh Chithambaram;5072786;1999-09-11;;2015; India;M;"Di Felice; d.o.b.[note 3]"
Arbakov, Valentin;4100620;1952-01-28;2003-11-30;1994; Russia;M;Di Felice
Ardiansyah;7100027;1951-12-05;2017-10-28;1986; Indonesia;M;Di Felice
Arenas, David;4403177;1991-12-24;;2017; Colombia;M;title application
Arencibia Rodríguez, Walter;3500012;1967-07-21;;1990; Cuba;M;
Areshchenko, Alexander;14109530;1986-06-15;;2002; Ukraine;M;
Arizmendi Martínez, Julen Luis;2205092;1976-07-05;;2004; Spain;M;title application
Arkell, Keith;400270;1961-01-08;;1995; England;M;
Arkhipov, Sergey;4101146;1954-06-23;;1991; Russia;M;
Árnason, Jón Loftur;2300036;1960-11-13;;1986; Iceland;M;
Arnaudov, G. Petar;2907127;1986-08-08;;2013; Bulgaria;M;title application
Arnold, Marc Tyler;2022320;1992-11-20;;2012; United States;M;title application
Aronian, Levon;13300474;1982-10-06;;2000; Armenia;M;Di Felice
Aroshidze, Levan;13601865;1985-07-09;;2006; Georgia;M;title application
Arribas Lopez, Angel;2283352;1993-11-27;;2014; Spain;M;title application
Artemiev, Vladislav;24101605;1998-03-05;;2014; Russia;M;title application
Arun Prasad, S.;5011167;1988-04-21;;2008; India;M;title application
Arutinian, David;13601741;1984-05-31;;2006; Georgia;M;title application
Arzumanian, Georgy;13300660;1980-08-16;;2009; Armenia;M;title application
Asadli, Vugar;13405764;2001-10-09;;2019; Azerbaijan;M;title application
Asanov, Bolat;13700049;1961-05-07;;1994; Kazakhstan;M;
Aseev, Konstantin;4100247;1960-10-20;2004-08-22;1992; Russia;M;Di Felice
Ashley, Maurice;2001012;1966-03-06;;2000; United States;M;Di Felice
Ashwin Jayaram;5018137;1990-08-14;;2015; India;M;title application
Asis Gargatagli, Hipolito;2260735;1986-08-17;;2019; Spain;M;title application
Askarov, Marat;4141229;1987-06-29;;2008; Russia;M;title application
Asrian, Karen;13300490;1980-04-24;2008-06-09;1998; Armenia;M;Di Felice
Atabayev, Maksat;14001101;1994-12-28;;2015; Turkmenistan;M;title application
Atalık, Suat;14401487;1964-10-10;;1994; Serbia;M;
Averbakh, Yuri;4101529;1922-02-08;;1952; Russia;M;Gaige
Aveskulov, Valeriy;14109743;1986-01-31;;2006; Ukraine;M;title application
Avrukh, Boris;2803895;1978-02-10;;1997; Israel;M;Di Felice
Azarov, Sergei;13501470;1983-05-19;;2003; Belarus;M;title application
Azmaiparashvili, Zurab;13601326;1960-03-16;;1988; Georgia;M;Di Felice
Babaev, Rashad;13400681;1981-09-03;;2007; Azerbaijan;M;
